co_ppm,o3_ppb,no2_ppb,temperature,humidity,pm1,pm25,pm10,pm1_label,pm25_label,pm10_label,no2_label,o3_label,co_label,temperature_label,humidity_label,label_sum,risk_label
1.607183,10.0,6.089046,31.3,51,22,31,34,1,1,0,0,0,0,1,0,3,0
1.616309,10.0,6.210896,31.3,51,22,33,38,1,1,0,0,0,0,1,0,3,0
1.614023,10.0,6.255742,31.3,51,22,32,37,1,1,0,0,0,0,1,0,3,0
1.614023,10.0,6.078076,31.3,51,22,32,37,1,1,0,0,0,0,1,0,3,0
1.61174,10.0,6.18858,31.3,51,23,33,36,1,1,0,0,0,0,1,0,3,0
1.598107,10.0,6.346305,31.3,51,23,33,36,1,1,0,0,0,0,1,0,3,0
1.614023,10.0,6.222079,31.3,51,23,32,35,1,1,0,0,0,0,1,0,3,0
1.607183,10.0,6.312206,31.3,51,22,31,33,1,1,0,0,0,0,1,0,3,0
1.602639,10.0,6.199728,31.3,51,22,31,33,1,1,0,0,0,0,1,0,3,0
1.607183,10.0,6.222079,31.3,51,22,31,34,1,1,0,0,0,0,1,0,3,0
1.627782,10.0,6.155241,31.3,51,23,32,35,1,1,0,0,0,0,1,0,3,0
1.614023,10.0,6.289566,31.3,51,22,32,36,1,1,0,0,0,0,1,0,3,0
1.607183,10.0,6.346305,31.3,51,23,34,38,1,1,0,0,0,0,1,0,3,0
1.614023,10.0,6.155241,31.3,51,23,34,38,1,1,0,0,0,0,1,0,3,0
1.627782,10.0,6.18858,31.3,51,23,33,38,1,1,0,0,0,0,1,0,3,0
1.618597,10.0,6.222079,31.3,51,22,33,36,1,1,0,0,0,0,1,0,3,0
1.60491,10.0,6.33492,31.3,51,22,32,35,1,1,0,0,0,0,1,0,3,0
1.60491,10.0,6.300878,31.3,51,22,32,34,1,1,0,0,0,0,1,0,3,0
1.602639,10.0,6.346305,31.3,51,22,32,34,1,1,0,0,0,0,1,0,3,0
1.607183,10.0,6.312206,31.3,51,24,33,36,1,1,0,0,0,0,1,0,3,0
1.616309,10.0,6.255742,31.3,51,24,33,36,1,1,0,0,0,0,1,0,3,0
1.620889,10.0,6.346305,31.4,51,23,33,36,1,1,0,0,0,0,1,0,3,0
1.60491,10.0,6.33492,31.4,51,24,34,38,1,1,0,0,0,0,1,0,3,0
1.61174,10.0,6.312206,31.4,51,23,33,38,1,1,0,0,0,0,1,0,3,0
1.623184,10.0,6.222079,31.4,51,23,33,36,1,1,0,0,0,0,1,0,3,0
1.609461,10.0,6.289566,31.4,51,23,32,35,1,1,0,0,0,0,1,0,3,0
1.607183,10.0,6.369128,31.4,51,22,31,35,1,1,0,0,0,0,1,0,3,0
1.614023,10.0,6.369128,31.4,51,22,32,36,1,1,0,0,0,0,1,0,3,0
1.616309,10.0,6.199728,31.4,51,22,32,36,1,1,0,0,0,0,1,0,3,0
1.620889,10.0,6.369128,31.4,51,23,33,37,1,1,0,0,0,0,1,0,3,0
3.285621,10.0,5.673985,31.4,51,22,33,37,1,1,0,0,0,1,1,0,4,1
5.393787,10.0,5.541298,31.4,51,22,33,37,1,1,0,0,0,1,1,0,4,1
3.786835,10.0,5.663681,31.4,52,22,33,37,1,1,0,0,0,1,1,0,4,1
5.864408,10.0,5.684306,31.4,54,22,33,37,1,1,0,0,0,1,1,0,4,1
4.434632,10.0,5.969335,31.5,57,22,32,34,1,1,0,0,0,1,1,1,5,2
3.337509,10.0,5.725758,31.6,60,22,32,34,1,1,0,0,0,1,1,1,5,2
2.475261,10.0,6.078076,31.8,62,22,31,34,1,1,0,0,0,1,1,1,5,2
2.134362,10.0,6.210896,31.9,62,21,31,34,1,1,0,0,0,1,1,1,5,2
2.015436,10.0,6.357708,32.0,61,22,33,37,1,1,0,0,0,1,2,1,6,2
50.0,10.0,0.629304,28.7,58,31,44,52,1,1,1,0,0,2,1,1,7,2
50.0,10.0,2.212939,28.6,58,30,46,59,1,1,1,0,0,2,1,1,7,2
50.0,10.0,3.437728,28.6,58,33,52,73,1,1,1,0,0,2,1,1,7,2
30.27403,10.0,4.581902,28.6,58,33,52,73,1,1,1,0,0,2,1,1,7,2
16.87611,10.0,5.461007,28.6,58,33,51,72,1,1,1,0,0,2,1,1,7,2
12.13147,10.0,6.210896,28.6,58,33,51,72,1,1,1,0,0,2,1,1,7,2
9.401475,10.0,6.927293,28.7,58,33,51,72,1,1,1,0,0,2,1,1,7,2
7.864585,10.0,7.410753,28.7,58,33,51,71,1,1,1,0,0,1,1,1,6,2
6.75593,10.0,7.841792,28.7,58,34,51,66,1,1,1,0,0,1,1,1,6,2
5.864408,10.0,8.094379,28.7,58,34,52,66,1,1,1,0,0,1,1,1,6,2
5.311741,10.0,8.592427,28.8,58,35,53,66,1,1,1,0,0,1,1,1,6,2
4.813454,10.0,8.775006,28.8,58,35,52,65,1,1,1,0,0,1,1,1,6,2
2.18568,10.0,6.18858,34.4,52,30,44,54,1,1,1,0,0,1,2,0,6,2
2.179579,10.0,6.222079,34.5,52,30,45,54,1,1,1,0,0,1,2,0,6,2
2.158361,10.0,6.177448,34.5,52,30,45,54,1,1,1,0,0,1,2,0,6,2
2.161379,10.0,6.255742,34.6,52,30,44,54,1,1,1,0,0,1,2,0,6,2
2.152336,10.0,6.18858,34.7,51,30,44,54,1,1,1,0,0,1,2,0,6,2
2.137347,10.0,6.222079,34.7,51,30,44,54,1,1,1,0,0,1,2,0,6,2
